"","UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","normGravel","normSand","normSilt","PC1","gravel","DownStreamTotal","APresence","DPresence"
"142","N10 90-5","N",10,1.78,0,"A",12.01,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"143","N10 90-5","N",10,1.78,0,"A",11.45,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"144","N10 130-4","N",10,1.64,0,"Z",NA,0.140838223547202,-0.388937005032159,-0.640541932804983,-2.43980963247531,0.8329,134,0,0
"145","N10 130-4","N",10,1.64,5,"Z",NA,0.140838223547202,-0.388937005032159,-0.640541932804983,-2.43980963247531,0.8329,134,0,0
"146","N10 130-4","N",10,1.64,10,"Z",NA,0.140838223547202,-0.388937005032159,-0.640541932804983,-2.43980963247531,0.8329,134,0,0
"147","N10 130-4","N",10,1.64,15,"Z",NA,0.140838223547202,-0.388937005032159,-0.640541932804983,-2.43980963247531,0.8329,134,0,0
"148","S2 10-2","S",2,3.94,0,"Z",NA,0.0411843698235639,-0.00382524436051961,0.275748799069172,-0.203205915686158,0.7539,12,0,0
"149","S2 10-2","S",2,3.94,5,"D",NA,0.0411843698235639,-0.00382524436051961,0.275748799069172,-0.203205915686158,0.7539,12,0,1
"150","S2 10-2","S",2,3.94,10,"D",NA,0.0411843698235639,-0.00382524436051961,0.275748799069172,-0.203205915686158,0.7539,12,0,1
"151","S2 10-2","S",2,3.94,10,"D",NA,0.0411843698235639,-0.00382524436051961,0.275748799069172,-0.203205915686158,0.7539,12,0,1
"152","S2 10-2","S",2,3.94,10,"D",NA,0.0411843698235639,-0.00382524436051961,0.275748799069172,-0.203205915686158,0.7539,12,0,1
"153","S2 10-2","S",2,3.94,10,"D",NA,0.0411843698235639,-0.00382524436051961,0.275748799069172,-0.203205915686158,0.7539,12,0,1
"154","S2 10-2","S",2,3.94,15,"Z",NA,0.0411843698235639,-0.00382524436051961,0.275748799069172,-0.203205915686158,0.7539,12,0,0
"155","N5 120-8","N",5,1.56,0,"Z",NA,0.146942737087991,-0.421168436009116,-1.33368911336493,-1.90190445342809,0.838,128,0,0
"156","N5 120-8","N",5,1.56,5,"D",NA,0.146942737087991,-0.421168436009116,-1.33368911336493,-1.90190445342809,0.838,128,0,1
"157","N5 120-8","N",5,1.56,5,"D",NA,0.146942737087991,-0.421168436009116,-1.33368911336493,-1.90190445342809,0.838,128,0,1
"158","N5 120-8","N",5,1.56,10,"D",NA,0.146942737087991,-0.421168436009116,-1.33368911336493,-1.90190445342809,0.838,128,0,1
"159","N5 120-8","N",5,1.56,10,"D",NA,0.146942737087991,-0.421168436009116,-1.33368911336493,-1.90190445342809,0.838,128,0,1
"160","N5 120-8","N",5,1.56,15,"Z",NA,0.146942737087991,-0.421168436009116,-1.33368911336493,-1.90190445342809,0.838,128,0,0
"161","C 40-9","C",0,2.8,0,"D",NA,0.267744283257741,-1.51300521369362,-1.33368911336493,-5.28893677558363,0.9456,49,0,1
"162","C 40-9","C",0,2.8,5,"Z",NA,0.267744283257741,-1.51300521369362,-1.33368911336493,-5.28893677558363,0.9456,49,0,0
"163","C 40-9","C",0,2.8,10,"Z",NA,0.267744283257741,-1.51300521369362,-1.33368911336493,-5.28893677558363,0.9456,49,0,0
"164","C 40-9","C",0,2.8,15,"Z",NA,0.267744283257741,-1.51300521369362,-1.33368911336493,-5.28893677558363,0.9456,49,0,0
"165","S5 20-5","S",5,3.74,0,"Z",NA,-0.0108142786495405,0.138270751484347,1.15121753642307,0.634766996648482,0.7157,25,0,0
"166","S5 20-5","S",5,3.74,5,"Z",NA,-0.0108142786495405,0.138270751484347,1.15121753642307,0.634766996648482,0.7157,25,0,0
"167","S5 20-5","S",5,3.74,10,"Z",NA,-0.0108142786495405,0.138270751484347,1.15121753642307,0.634766996648482,0.7157,25,0,0
"168","S5 20-5","S",5,3.74,15,"D",NA,-0.0108142786495405,0.138270751484347,1.15121753642307,0.634766996648482,0.7157,25,0,1
"169","S10 140-6","S",10,1.42,0,"D",NA,-0.0824854376345131,0.299110419462402,1.30536821625033,2.04780033277511,0.6662,146,0,1
"170","S10 140-6","S",10,1.42,5,"D",NA,-0.0824854376345131,0.299110419462402,1.30536821625033,2.04780033277511,0.6662,146,0,1
"171","S10 140-6","S",10,1.42,5,"D",NA,-0.0824854376345131,0.299110419462402,1.30536821625033,2.04780033277511,0.6662,146,0,1
"172","S10 140-6","S",10,1.42,5,"D",NA,-0.0824854376345131,0.299110419462402,1.30536821625033,2.04780033277511,0.6662,146,0,1
"173","S10 140-6","S",10,1.42,15,"D",NA,-0.0824854376345131,0.299110419462402,1.30536821625033,2.04780033277511,0.6662,146,0,1
"174","S10 50-7","S",10,2.82,0,"D",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,1
"175","S10 50-7","S",10,2.82,0,"D",NA,-0.766666628663032,0.985770438402333,2.16281844810155,5.7498060467405,0.3361,57,0,1
